天猫_ZIPPO同城专卖店,天猫,Zippo同城专卖店,授权店铺,老授权店铺,下线,深圳市桓祥商贸有限公司,无,田思远,553623.49,837822.53,0,0,0,0,0,0,0,0,0,0,740854.71,809747.44,777209.63,679242.64,1156629.32,756262.51,488107.53,834904.02,533183.12,598438.27,627766.27,736777.85,715650.63,1446491.36,992271.65,750912.24,911541.23,601400.88,438460.54,778948.3,568906.65,530802.88,620982.34,592465.14,1229225.77,1470000,865555,837200,1343084,931639,1186481,949109,606442,604662,759172,681005.77,
天猫_ZIPPO爱东专卖店,天猫,zippo爱东专卖店,授权店铺,老授权店铺,自营,上海铁胜贸易有限公司,无,朱超,537405.34,748682.6,0,0,0,0,0,0,0,0,0,0,866379.21,648607.85,795800.81,649173.66,832612.18,610444.29,587566.93,644242.09,536924.14,711233.62,737925.8,554093.95,1227220.65,1416055.93,706104.56,698844,1099535,889600,733011,1120379.35,817747.89,704041.12,882855.2,918485.63,2139351,1866532.57,997098.97,459299.33,593893.02,827613.51,1107670,1439309.63,1581115.93,1024100,1331230.23,1059298,
天猫_ZIPPO鼎诚专卖店,天猫,zippo鼎诚专卖店,授权店铺,老授权店铺,自营,成都智海贸易有限公司,无,郭朝刚,292302.53,358572.68,0,0,0,0,0,0,0,0,0,0,93541.71,51436.1,85136.82,112162.59,160694.04,188286.98,162865.5,168399.76,132963.16,248431.63,341107.56,307038.56,488437,791416,391172,386541,445737,261364,224721,360900,455067,423305.77,269999,116414.17,488221,570370,360452,310054,554646,407611,548761,532830,293961,404319,516047,413318,
天猫_ZIPPO天空专卖店,天猫,zippo天空专卖店,授权店铺,老授权店铺,自营,武汉天空商务有限责任公司,无,朱超,233041.41,132408.69,0,0,0,0,0,0,0,0,0,0,1556919.65,793998.43,880083.62,613450.01,1189547.02,958866.9,843810.45,1047190.1,605821.68,1030264.03,513985.13,626305.12,1975306.24,3613917.7,1856852.27,1381491.75,2129421,1573262,1544642.34,2712378.55,1444126,1251537.88,1459383.25,1645624.37,3424871,3786561,2061588.28,1845751,3360944.37,2146389.37,2886738.53,2134489.73,1762766,1396295,2098007.61,1988971,
天猫_ZIPPO利得隆专卖店,天猫,ZIPPO利得隆专卖店,授权店铺,老授权店铺,自营,济南利得隆经贸有限公司,无,郭朝刚,156754.45,119397.4,0,0,0,0,0,0,0,0,0,0,205705.1,200491.33,236214.85,62530.53,0,0,0,27430.42,74647.64,118993.05,134481.51,163366.91,234141.01,300669.61,129125.11,104236.81,116303.16,52140.27,58169.77,109958.66,79426,108165.01,146276.77,165218.06,366213,276409,196266,145305,232938.65,250530,245380,223522.83,244771,298611,275944,186332,
天猫_ZIPPO芝宝琦品专卖店,天猫,zippo芝宝琦品专卖店,授权店铺,老授权店铺,自营,合肥坤震商贸有限责任公司,无,袁俊伟,146883.7,320979.11,0,0,0,0,0,0,0,0,0,0,29414.29,26840.7,46628.3,32935.09,79585.15,166989.5,91948.83,109507.35,86046.38,180995.68,178392.24,151982.14,349467.7,514656.28,325418.4,212935.15,287961.3,210415.94,181787.8,153019.69,77134.45,46901.91,44049.86,34791.2,515385,565435,507023,312043.14,290341.63,212285,278293.57,384495.46,391870.82,371942.71,378372.31,405713.25,
天猫_ZIPPO和兴专卖店,天猫,zippo和兴专卖店,授权店铺,新授权店铺,自营,深圳市桓祥商贸有限公司,无,田思远,7994.76,951.55,0,0,0,0,0,0,0,0,0,0,20075.8,25105.2,26961.73,6916.06,7308.25,11093.15,784.75,90175.75,161425,8811.25,21591.65,9737.55,0,0,0,0,90673,48577,30437.8,29095.02,19275.26,10406.9,12577.02,7831.86,0,0,0,0,0,0,0,0,0,0,0,0,
天猫_力昌户外专营店,天猫,力昌户外专营店,授权店铺,老授权店铺,下线,杭州钧灿贸易有限公司,无,亢荣达,224712,280177.25,0,0,0,0,0,0,0,0,0,0,188126.6,155281.8,156831.33,123967.24,177931.22,182645.26,298359.51,446268.31,297622.87,386285.46,560738.95,397582.71,110000,202588,161667,147983,165993,176441,155513,171835,141025,151690.75,150312.29,160337.74,200045,208812,188571,163647,231178,159608,227963,248001,149177,245624,319389,145036,
天猫_苏宁易购官方旗舰店,天猫,苏宁易购官方旗舰店,未授权店铺,未授权店铺,未授权店铺,无,无,无,108237.86,41057,0,0,0,0,0,0,0,0,0,0,136164,154576.1,95707.5,84897.59,166250,144432.14,96187,127914,74392.46,62526,80218.26,75564.15,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,
天猫_环恒ZIPPO专营店,天猫,环恒zippo专营店,未授权店铺,未授权店铺,未授权店铺,无,无,无,194128,399054,0,0,0,0,0,0,0,0,0,0,548105,350673,472750,372945,346043.2,376417,391056,288227,282392,373438,336713,278998,408470,561787,533351,353450,370555,363563,382736,510484,293522,386452,441422,486741,394478,411408,433631,240939,277227,222224,276466,430210,286101,399120,702049,443149,
